a,b,theta,E,E_p1,E_p2,E_t,machine_type,status,file_name
3.9,12.2,20,-53.08442431,-0.092694522,-13.07709254,-6.686212549,1,Done,pentacene_theta=20_a=3.9_b=12.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,12.5,10,-48.32018014,-0.032961845,-11.58245784,-6.272335191,2,Done,pentacene_theta=10_a=3.7_b=12.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.6,12.5,15,-49.25706889,-0.055236568,-12.37576101,-6.098768435,1,Done,pentacene_theta=15_a=3.6_b=12.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.9,12.7,5,-45.98907085,-0.013999748,-10.33643759,-6.322049043,1,Done,pentacene_theta=5_a=3.9_b=12.7_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.7,6.3,20,-71.18824093,-7.809914159,-1.057478597,-13.36336385,2,Done,pentacene_theta=20_a=6.7_b=6.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,12.5,10,-48.66982369,-0.032961845,-11.44837527,-6.426787365,2,Done,pentacene_theta=10_a=3.8_b=12.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.9,12.3,20,-52.52495397,-0.087845125,-13.07709254,-6.548769661,1,Done,pentacene_theta=20_a=3.9_b=12.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,12.5,15,-50.51859993,-0.055236568,-12.71305767,-6.245502863,1,Done,pentacene_theta=15_a=3.7_b=12.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.8,6.3,20,-71.57310034,-7.809914159,-0.967709526,-13.50446324,2,Done,pentacene_theta=20_a=6.8_b=6.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,12.6,5,-46.46319733,-0.015465611,-10.77554524,-6.220293904,1,Done,pentacene_theta=5_a=3.7_b=12.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.9,12.5,10,-48.24004335,-0.032961845,-11.01083451,-6.538112659,2,Done,pentacene_theta=10_a=3.9_b=12.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.9,12.4,20,-51.86392238,-0.083296932,-13.07709254,-6.385785861,1,Done,pentacene_theta=20_a=3.9_b=12.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,12.5,15,-50.52287955,-0.055236568,-12.49906797,-6.353567616,1,Done,pentacene_theta=15_a=3.8_b=12.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.9,6.3,20,-71.41296481,-7.809914159,-0.889172885,-13.50369768,2,Done,pentacene_theta=20_a=6.9_b=6.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,12.6,5,-46.91415864,-0.015465611,-10.71251312,-6.364550296,1,Done,pentacene_theta=5_a=3.8_b=12.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
