cx,cy,cz,a,b,theta,Rt,A2,E,E_i01,E_ip1,E_ip2,E_it1,E_it2,E_it3,E_it4,machine_type,status,file_name
0.0,1.3,11.2,5.9,7.3,65.0,2.1,4.0,-5.801144206547178,-1.1214444562792778,-0.1389558144146576,-0.1481275005498901,-2.136016429401934,-0.0602917882497422,-0.0602917882497422,-2.136016429401934,3,Done,anthracene_a=5.9_b=7.3_theta=65.0_Rt=2.1_A2=4.0_cx=0.0_cy=1.3_cz=11.2.log
0.0,1.3,11.3,5.9,7.3,65.0,2.1,4.0,-5.682039043633267,-1.1121673485031351,-0.1268775018397718,-0.1397878925781697,-2.094613319670316,-0.0569898306857794,-0.0569898306857794,-2.094613319670316,3,Done,anthracene_a=5.9_b=7.3_theta=65.0_Rt=2.1_A2=4.0_cx=0.0_cy=1.3_cz=11.3.log
0.0,1.2,11.1,5.9,7.3,65.0,2.1,5.0,-5.850795308011584,-1.0426141399657354,-0.1667331720236688,-0.150720371864736,-2.179901968862396,-0.065461843216326,-0.065461843216326,-2.179901968862396,3,Done,anthracene_a=5.9_b=7.3_theta=65.0_Rt=2.1_A2=5.0_cx=0.0_cy=1.2_cz=11.1.log
0.0,1.2,11.2,5.9,7.3,65.0,2.1,5.0,-5.76977623719722,-1.101966546033509,-0.152230160892941,-0.1422088262625038,-2.124901344883256,-0.0617840071208775,-0.0617840071208775,-2.124901344883256,3,Done,anthracene_a=5.9_b=7.3_theta=65.0_Rt=2.1_A2=5.0_cx=0.0_cy=1.2_cz=11.2.log
0.0,1.2,11.3,5.9,7.3,65.0,2.1,5.0,-5.608285283436999,-1.1038026402238756,-0.1389219288248568,-0.1341578729916364,-2.0573731111944653,-0.0583283095038495,-0.0583283095038495,-2.0573731111944653,3,Done,anthracene_a=5.9_b=7.3_theta=65.0_Rt=2.1_A2=5.0_cx=0.0_cy=1.2_cz=11.3.log
0.0,1.3,11.1,5.9,7.3,65.0,2.1,5.0,-5.936018696171232,-1.1249246267834678,-0.1609048591926694,-0.1507467272458598,-2.18573718436528,-0.0639840571093373,-0.0639840571093373,-2.18573718436528,3,Done,anthracene_a=5.9_b=7.3_theta=65.0_Rt=2.1_A2=5.0_cx=0.0_cy=1.3_cz=11.1.log
0.0,1.3,11.3,5.9,7.3,65.0,2.1,5.0,-5.713821170269512,-1.131625178619288,-0.1339307143352925,-0.1344214271521195,-2.0997971797478385,-0.0571247453335672,-0.0571247453335672,-2.0997971797478385,3,Done,anthracene_a=5.9_b=7.3_theta=65.0_Rt=2.1_A2=5.0_cx=0.0_cy=1.3_cz=11.3.log
0.0,1.4,11.1,5.9,7.3,65.0,2.1,5.0,-5.898033006233163,-1.197171108215116,-0.1550476808333769,-0.1505685143638402,-2.1351059126318432,-0.0625169387785717,-0.0625169387785717,-2.1351059126318432,3,Done,anthracene_a=5.9_b=7.3_theta=65.0_Rt=2.1_A2=5.0_cx=0.0_cy=1.4_cz=11.1.log
0.0,1.4,11.2,5.9,7.3,65.0,2.1,5.0,-5.863178590778261,-1.1955182467354462,-0.1414219288853928,-0.1423217779956758,-2.132835581433028,-0.0591227371478453,-0.0591227371478453,-2.132835581433028,3,Done,anthracene_a=5.9_b=7.3_theta=65.0_Rt=2.1_A2=5.0_cx=0.0_cy=1.4_cz=11.2.log
0.0,1.4,11.3,5.9,7.3,65.0,2.1,5.0,-5.737145717488602,-1.1517331091454253,-0.1289432647172361,-0.1344992384547367,-2.105058223765809,-0.0559268288197927,-0.0559268288197927,-2.105058223765809,3,Done,anthracene_a=5.9_b=7.3_theta=65.0_Rt=2.1_A2=5.0_cx=0.0_cy=1.4_cz=11.3.log
0.0,1.3,11.0,5.9,7.4,65.0,2.0,6.0,-5.9656271286075935,-1.1248154401546344,-0.1871046567102894,-0.1531601307215169,-2.1792637914186344,-0.071009659091942,-0.071009659091942,-2.1792637914186344,3,Done,anthracene_a=5.9_b=7.4_theta=65.0_Rt=2.0_A2=6.0_cx=0.0_cy=1.3_cz=11.0.log
0.0,1.3,11.1,5.9,7.4,65.0,2.0,6.0,-5.894295556587167,-1.1906261787516996,-0.1701505914097651,-0.1447464767843485,-2.127292158082128,-0.0670939967385493,-0.0670939967385493,-2.127292158082128,3,Done,anthracene_a=5.9_b=7.4_theta=65.0_Rt=2.0_A2=6.0_cx=0.0_cy=1.3_cz=11.1.log
0.0,1.3,11.2,5.9,7.4,65.0,2.0,6.0,-5.735697424039245,-1.1954404356656596,-0.1547728314762935,-0.1367670594481751,-2.060966861085035,-0.0633916876395233,-0.0633916876395233,-2.060966861085035,3,Done,anthracene_a=5.9_b=7.4_theta=65.0_Rt=2.0_A2=6.0_cx=0.0_cy=1.3_cz=11.2.log
0.0,1.4,11.0,5.9,7.4,65.0,2.0,6.0,-6.059815123793669,-1.214844299829565,-0.1804907012265175,-0.1530258435523137,-2.1864839212503284,-0.0692432183423079,-0.0692432183423079,-2.1864839212503284,3,Done,anthracene_a=5.9_b=7.4_theta=65.0_Rt=2.0_A2=6.0_cx=0.0_cy=1.4_cz=11.0.log
0.0,1.4,11.2,5.9,7.4,65.0,2.0,6.0,-5.848002888611518,-1.2257943492149934,-0.1491453218040987,-0.1368963266722858,-2.106148208549712,-0.061935236910358,-0.061935236910358,-2.106148208549712,3,Done,anthracene_a=5.9_b=7.4_theta=65.0_Rt=2.0_A2=6.0_cx=0.0_cy=1.4_cz=11.2.log
0.0,1.5,11.0,5.9,7.4,65.0,2.0,6.0,-6.033340476918966,-1.2921409814152869,-0.1738554105395451,-0.152683223132044,-2.139841730473563,-0.0674887004424817,-0.0674887004424817,-2.139841730473563,3,Done,anthracene_a=5.9_b=7.4_theta=65.0_Rt=2.0_A2=6.0_cx=0.0_cy=1.5_cz=11.0.log
0.0,1.5,11.1,5.9,7.4,65.0,2.0,6.0,-6.006403982755728,-1.2912662326125428,-0.1579517970094457,-0.1445607338100671,-2.1424189140088856,-0.0638936956529505,-0.0638936956529505,-2.1424189140088856,3,Done,anthracene_a=5.9_b=7.4_theta=65.0_Rt=2.0_A2=6.0_cx=0.0_cy=1.5_cz=11.1.log
0.0,1.5,11.2,5.9,7.4,65.0,2.0,6.0,-5.881838228087872,-1.247312922263518,-0.1435303622856736,-0.1368247902719304,-2.1165981326485053,-0.0604869439848698,-0.0604869439848698,-2.1165981326485053,3,Done,anthracene_a=5.9_b=7.4_theta=65.0_Rt=2.0_A2=6.0_cx=0.0_cy=1.5_cz=11.2.log
0.0,1.3,10.9,5.9,7.4,65.0,2.0,7.0,-6.02753977465909,-1.1213001288706437,-0.2172113314736634,-0.1553990864194929,-2.1914889410254546,-0.0753256729221902,-0.0753256729221902,-2.1914889410254546,3,Done,anthracene_a=5.9_b=7.4_theta=65.0_Rt=2.0_A2=7.0_cx=0.0_cy=1.3_cz=10.9.log
0.0,1.3,11.0,5.9,7.4,65.0,2.0,7.0,-6.025820397189818,-1.2305684452876449,-0.1976832203799858,-0.14698292221874,-2.1541445659240708,-0.071148338727653,-0.071148338727653,-2.1541445659240708,3,Done,anthracene_a=5.9_b=7.4_theta=65.0_Rt=2.0_A2=7.0_cx=0.0_cy=1.3_cz=11.0.log
0.0,1.3,11.1,5.9,7.4,65.0,2.0,7.0,-5.91125840623863,-1.2618786841630936,-0.179617207380943,-0.1389884446980431,-2.098184479167685,-0.0672025558305904,-0.0672025558305904,-2.098184479167685,3,Done,anthracene_a=5.9_b=7.4_theta=65.0_Rt=2.0_A2=7.0_cx=0.0_cy=1.3_cz=11.1.log
0.0,1.4,10.9,5.9,7.4,65.0,2.0,7.0,-6.1271017662948,-1.2319815977243709,-0.2097176072420552,-0.1553288053255528,-2.1916320133022964,-0.0734048646991141,-0.0734048646991141,-2.1916320133022964,3,Done,anthracene_a=5.9_b=7.4_theta=65.0_Rt=2.0_A2=7.0_cx=0.0_cy=1.4_cz=10.9.log
0.0,1.4,11.1,5.9,7.4,65.0,2.0,7.0,-6.031504382845014,-1.300695197773166,-0.1732818662421777,-0.1391465774504467,-2.143577924987767,-0.0656124457018449,-0.0656124457018449,-2.143577924987767,3,Done,anthracene_a=5.9_b=7.4_theta=65.0_Rt=2.0_A2=7.0_cx=0.0_cy=1.4_cz=11.1.log
0.0,1.5,10.9,5.9,7.4,65.0,2.0,7.0,-6.103113314136863,-1.3273317423881963,-0.2021561115980148,-0.1550514459377154,-2.1377904003020376,-0.0714966068044304,-0.0714966068044304,-2.1377904003020376,3,Done,anthracene_a=5.9_b=7.4_theta=65.0_Rt=2.0_A2=7.0_cx=0.0_cy=1.5_cz=10.9.log
0.0,1.5,11.0,5.9,7.4,65.0,2.0,7.0,-6.150107538211159,-1.3556688389508054,-0.1838516448624432,-0.1468850307865068,-2.164192883530632,-0.0676581282750703,-0.0676581282750703,-2.164192883530632,3,Done,anthracene_a=5.9_b=7.4_theta=65.0_Rt=2.0_A2=7.0_cx=0.0_cy=1.5_cz=11.0.log
0.0,1.5,11.1,5.9,7.4,65.0,2.0,7.0,-6.0750937378034,-1.3306575453607363,-0.1669251901330426,-0.1390976316761225,-2.1551749373902567,-0.0640317479264922,-0.0640317479264922,-2.1551749373902567,3,Done,anthracene_a=5.9_b=7.4_theta=65.0_Rt=2.0_A2=7.0_cx=0.0_cy=1.5_cz=11.1.log
0.0,1.4,10.8,5.9,7.5,65.0,2.0,8.0,-6.125180330709554,-1.2250225119059903,-0.2432391912443563,-0.1575276002986356,-2.172945393016562,-0.076750120613724,-0.076750120613724,-2.172945393016562,3,Done,anthracene_a=5.9_b=7.5_theta=65.0_Rt=2.0_A2=8.0_cx=0.0_cy=1.4_cz=10.8.log
0.0,1.4,10.9,5.9,7.5,65.0,2.0,8.0,-6.2000987499486655,-1.3436507675796747,-0.2210416523739695,-0.1492068177321925,-2.170522577012889,-0.0725771791185252,-0.0725771791185252,-2.170522577012889,3,Done,anthracene_a=5.9_b=7.5_theta=65.0_Rt=2.0_A2=8.0_cx=0.0_cy=1.4_cz=10.9.log
